name,description,url,tags
ChatGPT,"대화형 AI, 공감 능력 탁월하고 언변 좋음, 한국어 잘함",https://chat.openai.com,"글쓰기,이미지,개발,개세픽"
Claude,개발 잘하는 대화형 AI,https://claude.ai/,"글쓰기,개발,개세픽"
Grok,"일론 머스크의 xAI가 개발한 대화형 AI, 위트 있고 반항적인 답변으로 유명",https://grok.com,글쓰기
Gemini,"구글의 멀티모달 대화형 AI, 이전 Bard에서 브랜드 변경",https://gemini.google.com,"글쓰기,이미지,개발,개세픽"
DeepSeek,"중국 개발 오픈소스 AI, GPT-4급 성능을 무료로 제공",https://chat.deepseek.com,글쓰기
Qwen,"알리바바의 멀티기능 AI 채팅봇, 텍스트부터 영상 생성까지 올인원",https://qwenlm.github.io/,"글쓰기,이미지,영상"
Le Chat,Mistral AI의 대화형 AI 모델,https://chat.mistral.ai/,글쓰기
Copilot,"마이크로소프트의 AI 어시스턴트, GPT-4 기반으로 자연어 검색과 Office 통합 지원",https://copilot.microsoft.com,"글쓰기,검색,개발,개세픽"
Poe,"Quora의 AI 플랫폼, 여러 AI 모델을 한 곳에서 접근 가능",https://poe.com,"글쓰기,멀티모델"
Perplexity,실시간 웹 검색과 출처 제공이 가능한 AI 답변 엔진,https://www.perplexity.ai,검색
Felo,"다국어 검색과 번역이 강점인 AI 검색 엔진, 학술논문 검색 특화",https://felo.ai,"검색,학술"
Genspark,실시간으로 맞춤형 Sparkpages를 생성하는 AI 검색 엔진,https://www.genspark.ai,"검색,이미지,영상,번역"
Midjourney,"Discord 기반 최고급 AI 이미지 생성 툴, 예술적이고 사실적인 이미지 생성 특화",https://midjourney.com,"이미지,영상,개세픽"
Ideogram,"텍스트 렌더링과 디자인에 강한 AI 이미지 생성기, 2.0에서 사실성 대폭 개선",https://ideogram.ai,이미지
Flux,"Black Forest Labs의 오픈소스 AI 이미지 모델, 인물 표현과 프롬프트 준수도 뛰어남",https://huggingface.co/black-forest-labs/FLUX.1-dev,이미지
ImageFX,구글의 AI 이미지 생성 툴,https://aitestkitchen.withgoogle.com/tools/image-fx,이미지
Leonardo,상업용 이미지 생성에 특화된 AI 툴,https://leonardo.ai,이미지
Firefly,어도비의 크리에이티브 AI 이미지 생성 도구,https://firefly.adobe.com,이미지
Playground,사용자 친화적인 AI 이미지 생성 플랫폼,https://playground.com,이미지
Microsoft Designer,마이크로소프트의 AI 기반 디자인 툴,https://designer.microsoft.com,이미지
Krea,실시간 AI 이미지 생성 및 편집 도구,https://krea.ai,"이미지,영상"
Freepik,AI 기능이 통합된 디자인 리소스 플랫폼,https://freepik.com,디자인
Scenario,게임 아트 생성에 특화된 AI 이미지 도구,https://scenario.com,이미지
Magnific,AI 기반 이미지 업스케일링 도구,https://magnific.ai,이미지
Ratel,AI 이미지 생성 및 편집 도구,https://ratel.ai,이미지
AI Studio,구글의 AI 개발 스튜디오 및 이미지 생성,https://aistudio.google.com,"이미지,개발"
Photoshop,어도비 포토샵의 AI 기능 (Generative Fill 등),https://adobe.com/products/photoshop,"디자인, 이미지"
Cursor,"AI 기능이 깊이 통합된 VS Code 기반 코드 에디터, 프로 개발자용",https://www.cursor.com,개발
Windsurf,"Codeium의 AI 코드 에디터, 자동 컨텍스트 분석과 직관적인 UI가 강점",https://codeium.com/windsurf,개발
Bolt,자연어로 아이디어를 입력하면 실제 풀스택 앱을 생성하는 MVP 생성기,https://bolt.new,개발
Lovable,"비전문가도 자연어로 풀스택 앱을 만들 수 있는 플랫폼, Supabase/Stripe 통합",https://lovable.dev,개발
V0,"Vercel의 디자인을 코드로 변환하는 툴, ShadCN UI 스타일 특화",https://v0.dev,"개발,디자인"
Replit,"실시간 협업이 가능한 브라우저 기반 IDE, AI 에이전트 포함",https://replit.com,개발
Trae,AI 기반 코딩 어시스턴트,https://trae.ai,개발
Rork,AI 코딩 도구,https://rork.ai,개발
Codev,AI 기반 개발 어시스턴트,https://codev.ai,개발
Reweb,AI 웹 개발 도구,https://reweb.ai,개발
Apipt,API 개발을 위한 AI 도구,https://apipt.ai,개발
Kling,"Kuaishou의 AI 영상 생성 도구, 인물 동작과 카메라 움직임 표현 뛰어남",https://klingai.com,영상
Sora,"OpenAI의 텍스트-영상 생성 AI, 현재 ChatGPT 구독자 대상 제한 공개",https://sora.com,영상
Runway,"Gen-3로 업그레이드된 프로급 AI 영상 생성 툴, 모션 제어와 립싱크 기능",https://runwayml.com,영상
Luma,"Dream Machine으로 유명한 이미지-영상 변환 AI, 직관적이고 빠른 생성",https://lumalabs.ai,영상
Pika,스타일라이즈된 영상 생성에 특화된 AI 도구,https://pika.art,영상
Vidu,중국 Shengshu Technology의 AI 영상 생성 모델,https://www.vidu.studio,영상
Hailuo,"MiniMax의 T2V-01 Director 모델, 카메라 컨트롤과 6초 영상 생성",https://hailuoai.video,영상
Veo,"구글의 차세대 AI 영상 생성 모델, 물리법칙과 캐릭터 일관성 우수",https://deepmind.google/technologies/veo/,영상
ElevenLabs,"최고 품질의 AI 음성 합성 및 음성 복제 도구, 70개 언어 지원",https://elevenlabs.io,음악/음성
Suno,텍스트 프롬프트로 완전한 음악 트랙을 생성하는 AI 음악 제작 도구,https://suno.ai,"음악/음성,개세픽"
Udio,고품질 보컬과 다양한 장르를 지원하는 AI 음악 생성 플랫폼,https://udio.com,음악/음성
MusicFX,구글의 AI 음악 생성 도구,https://aitestkitchen.withgoogle.com/tools/music-fx,음악/음성
DeepL,"AI 기반 번역 서비스, 자연스러운 번역으로 유명",https://www.deepl.com,번역
Gamma,AI로 프레젠테이션과 웹페이지를 자동 생성하는 도구,https://gamma.app,프레젠테이션
Canva,AI 기능이 강화된 디자인 플랫폼,https://canva.com,"디자인,개세픽"
Napkin,텍스트를 시각적 다이어그램으로 변환하는 AI 도구,https://napkin.ai,시각화
Mapify,컨텐츠를 마인드맵으로 변환하는 AI 도구,https://mapify.so,시각화
ClovaNote,네이버의 AI 음성-텍스트 변환 노트 앱,https://clovanote.naver.com,"음성인식,노트/요약"
Tiro,AI 기반 회의 노트 및 요약 도구,https://tiro.ai,노트/요약
Notta,AI 음성 인식 및 회의 기록 도구,https://notta.ai,"노트/요약, 음성인식"
Notion,AI 기능이 추가된 올인원 워크스페이스,https://notion.so,노트/요약
Obsidian,연결형 노트 앱에 AI 플러그인 지원,https://obsidian.md,노트/요약
Figma,AI 기능이 강화된 디자인 및 프로토타이핑 도구,https://figma.com,"디자인,개세픽"
Framer,AI 기반 웹사이트 빌더 및 디자인 도구,https://framer.com,디자인
Uizard,스케치를 UI로 변환하는 AI 디자인 도구,https://uizard.io,디자인
Dora,3D 웹사이트 생성이 가능한 노코드 플랫폼,https://dora.run,디자인
Galileo,AI 기반 UI 디자인 생성 도구,https://usegalileo.ai,디자인
Ugic,AI 기반 UI/UX 디자인 도구,https://ugic.ai,디자인
Creatie,AI 크리에이티브 디자인 플랫폼,https://creatie.ai,디자인
Wegic,AI 웹 디자인 도구,https://wegic.ai,디자인
Capcut,AI 기능이 내장된 무료 영상 편집 앱,https://capcut.com,영상
Vrew,AI 자막 생성 및 영상 편집 도구,https://vrew.voyagerx.com,영상
VEED,온라인 AI 영상 편집 플랫폼,https://veed.io,영상
Invideo,AI 기반 마케팅 영상 제작 도구,https://invideo.io,"영상,마케팅"
Heygen,AI 아바타 영상 생성 도구,https://heygen.com,아바타
Synthesis,AI 기반 교육 영상 제작 플랫폼,https://synthesis.is,"교육,영상"
Make,시각적 워크플로우 자동화 플랫폼 (구 Integromat),https://make.com,자동화
Zapier,클라우드 기반 앱 연동 자동화 도구,https://zapier.com,자동화
n8n,"오픈소스 워크플로우 자동화 플랫폼, 온프레미스 지원",https://n8n.io,자동화
Dify,AI 앱 개발을 위한 오픈소스 LLMOps 플랫폼,https://dify.ai,AI플랫폼
뤼튼,"한국의 종합 AI 플랫폼, 글쓰기부터 캐릭터 채팅까지",https://wrtn.ai,AI플랫폼
Consensus,AI 기반 학술 연구 검색 엔진,https://consensus.app,학술/리서치
Replicate,클라우드 기반 AI 모델 실행 플랫폼,https://replicate.com,AI플랫폼
Fal AI,"개발자를 위한 생성형 미디어 플랫폼, 빠른 AI 추론",https://fal.ai,"AI플랫폼,개발"
Tost AI,AI 모델 호스팅 및 배포 플랫폼,https://tost.ai,AI플랫폼
Google NotebookLM,,https://notebooklm.google/,학술/리서치
Groq,초고속 AI 추론을 위한 하드웨어 및 플랫폼,https://groq.com,AI하드웨어
Cerebras,대규모 AI 모델 훈련 및 추론을 위한 하드웨어 플랫폼,https://cerebras.ai,AI하드웨어
Together AI,오픈소스 AI 모델 플랫폼,https://together.ai,AI플랫폼
Super Vision,컴퓨터 비전 AI 플랫폼,https://supervision.ai,AI플랫폼
Pinokio,AI 앱의 로컬 설치 및 실행을 위한 원클릭 플랫폼,https://pinokio.computer,로컬AI
ComfyUI,"노드 기반 Stable Diffusion 인터페이스, 고급 이미지 생성",https://comfyui.com,로컬AI
Ollama,로컬에서 대형 언어 모델을 실행하는 도구,https://ollama.com,로컬AI
LmStudio,로컬 AI 모델 실행을 위한 데스크톱 앱,https://lmstudio.ai,로컬AI
OpenWebUI,Ollama와 OpenAI API를 위한 웹 인터페이스,https://openwebui.com,로컬AI
Anifusion,AI 만화 및 애니메이션 생성 도구,https://anifusion.ai,창작
Novel AI,AI 기반 소설 및 스토리 작성 도구,https://novelai.net,창작
Story Tribe,협업 스토리텔링 AI 플랫폼,https://storytribe.ai,창작
arxiv.lint,arXiv 논문 검토 및 개선을 위한 AI 도구,https://arxiv.org,학술/리서치
Storm,자동 위키피디아 스타일 아티클 생성 AI,https://storm.genie.stanford.edu,글쓰기
Character AI,AI 캐릭터와의 대화 플랫폼,https://character.ai,아바타
Transformers,Hugging Face의 트랜스포머 라이브러리,https://huggingface.co/transformers,라이브러리
Hunyuan / Wan 2.1,텐센트의 AI 모델 플랫폼,https://hunyuan.tencent.com,AI플랫폼
,,,
Phind,개발자를 위한 AI 검색 엔진,https://phind.com,개발
JENOVA,AI 어시스턴트 플랫폼,https://jenova.ai,AI어시스턴트
Cody,코드 이해를 돕는 AI 어시스턴트,https://cody.ai,"개발,코드분석"